word,sim
fotbal,0.7590686678886414
hokej.,0.7564560174942017
hokejHokej,0.7080224752426147
hokej-,0.6935827136039734
hokejO,0.688045084476471
hokejbal,0.6858253479003906
hokeje,0.677340030670166
hokeji,0.6702489852905273
hokejJak,0.6647763252258301
Hokej,0.6567834615707397
hokejem,0.6320200562477112
basketbal,0.6317623853683472
hokeja,0.6236709952354431
fotbaly,0.6209273934364319
hokejEtika,0.6178953647613525
hokejový,0.615271270275116
hokejù,0.6142361760139465
Sporthokej,0.6115145683288574
chokej,0.6101946830749512
hokejNa,0.6078888773918152
minihokej,0.599818766117096
sport,0.5966423749923706
tenis,0.5918959975242615
hokeju,0.587539792060852
hokeji.,0.5874857902526855
hokejeSledge,0.5839574933052063
fotbalgolf,0.5787028074264526
Minihokej,0.5775606036186218
hoke,0.5771522521972656
fotball,0.5757487416267395
