word,sim
fotbal,0.7590686678886414
hokej-,0.6935827136039734
hokejbal,0.6858253479003906
hokeje,0.677340030670166
hokeji,0.6702489852905273
Hokej,0.6567834615707397
hokejem,0.6320200562477112
basketbal,0.6317623853683472
hokejový,0.615271270275116
sport,0.5966423749923706
tenis,0.5918959975242615
basketball,0.5728129148483276
florbal,0.5727319717407227
hokej70,0.5581719875335693
hokejista,0.5551169514656067
baseball,0.5533083081245422
nároïák,0.552670955657959
volejbal,0.5522791743278503
hokejisté,0.5493305921554565
softbal,0.5426245927810669
hokejisti,0.539736807346344
hokej.cz,0.5393876433372498
hokejovì,0.5374869704246521
bruslení,0.5356564521789551
zimák,0.5345091223716736
hokejisty,0.5344415903091431
fotbalu,0.5328730940818787
Jágr,0.5307034254074097
basket,0.5289775133132935
sledge,0.5219656825065613
