,model_variant,AP,precision_score,balanced_accuracies,DCG,DCG_AT_5,F1-SCORE,NDCG,NDCG_AT_5
0,doc2vec,0.6,0.23,0.48,3.3,1.38,0.34,0.71,0.47
1,doc2vec-full-text,0.31,0.15,0.5,2.11,0.88,0.14,0.64,0.3
2,lda,0.05,0.02,0.5,0.35,0.15,0.0,0.35,0.15
3,tfidf,0.82,0.33,0.5,4.69,1.97,0.56,0.85,0.67
4,word2vec,0.61,0.28,0.5,3.26,1.37,0.38,0.66,0.48
5,word2vec-eval-2,0.79,0.49,0.65,4.83,2.02,0.6,0.84,0.69
6,word2vec-full-text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
