,model_variant,AP,precision_score,balanced_accuracies,DCG,DCG_AT_5,F1-SCORE,NDCG,NDCG_AT_5
64,testing-model-ab706a96b57cc634,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
65,testing-model-ac3d50b6c18205ed,0.09,0.25,0.5,0.82,0.82,0.33,0.82,0.82
66,testing-model-addfe022b3638e21,0.55,0.25,0.5,0.82,0.82,0.33,0.82,0.82
67,testing-model-b0bd340fa1a218f1,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
68,testing-model-b4628ca41cf46930,0.8,0.25,0.5,0.82,0.82,0.33,0.82,0.82
69,testing-model-b48742fcbb6030e5,0.13,0.25,0.5,0.82,0.82,0.33,0.82,0.82
70,testing-model-b78abf1bb5055a59,0.7,0.25,0.5,0.82,0.82,0.33,0.82,0.82
71,testing-model-b81d7067f40a69ec,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
72,testing-model-b86ddfa67e7a81ef,0.84,0.25,0.5,0.82,0.82,0.33,0.82,0.82
73,testing-model-baf0990784c1197b,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
74,testing-model-bb522cf728e72fb5,0.54,0.25,0.5,0.82,0.82,0.33,0.82,0.82
75,testing-model-bdcf45da783f55fb,0.44,0.25,0.5,0.82,0.82,0.33,0.82,0.82
76,testing-model-be779c0a2d807a1c,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
77,testing-model-bf7321a1d007ddbf,0.92,0.25,0.5,0.82,0.82,0.33,0.82,0.82
78,testing-model-c1fabab322f84f69,0.42,0.25,0.5,0.82,0.82,0.33,0.82,0.82
79,testing-model-c257133bf92e075e,0.59,0.25,0.5,0.82,0.82,0.33,0.82,0.82
80,testing-model-cc34bced218c6205,0.59,0.25,0.5,0.82,0.82,0.33,0.82,0.82
81,testing-model-cf2e10db4a737d14,0.69,0.25,0.5,0.82,0.82,0.33,0.82,0.82
82,testing-model-d613b03b5e687a8a,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
83,testing-model-d672bd461bc4b7a2,0.76,0.25,0.5,0.82,0.82,0.33,0.82,0.82
84,testing-model-d68035ed3b0b25fd,0.58,0.25,0.5,0.82,0.82,0.33,0.82,0.82
85,testing-model-d83575034ffee8af,0.58,0.25,0.5,0.82,0.82,0.33,0.82,0.82
86,testing-model-dc0dd837ae8e1248,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
87,testing-model-dd557de76a3e818e,0.87,0.25,0.5,0.82,0.82,0.33,0.82,0.82
88,testing-model-de1fa390ad0ddad6,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
89,testing-model-de224c485bea8064,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
90,testing-model-de93ac470d966147,0.89,0.25,0.5,0.82,0.82,0.33,0.82,0.82
91,testing-model-ded978585a2c872f,0.6,0.25,0.5,0.82,0.82,0.33,0.82,0.82
92,testing-model-eb31781b6a781f28,0.24,0.25,0.5,0.82,0.82,0.33,0.82,0.82
93,testing-model-eb7df4df53c71f4a,1.0,0.25,0.5,0.82,0.82,0.33,0.82,0.82
94,testing-model-eed8f0daee9ed168,0.4,0.25,0.5,0.82,0.82,0.33,0.82,0.82
95,testing-model-f338f9fe87ad65d5,0.9,0.25,0.5,0.82,0.82,0.33,0.82,0.82
96,testing-model-f396bdd9cd1c5ed7,0.9,0.25,0.5,0.82,0.82,0.33,0.82,0.82
97,testing-model-fcc76670abb8ed21,0.75,0.25,0.5,0.82,0.82,0.33,0.82,0.82
98,tfidf,0.49,0.15,0.45,2.21,0.9,0.19,0.57,0.32
99,tfidf-full-text,0.0,0.5,0.63,5.19,2.17,0.66,0.88,0.74
100,tfidf_full_text,0.52,0.13,0.5,1.84,0.75,0.12,0.58,0.28
101,word2vec-cswiki-eval-1,0.58,0.29,0.55,3.22,1.35,0.36,0.69,0.48
102,word2vec-eval-1,0.73,0.41,0.61,4.18,1.75,0.5,0.78,0.61
103,word2vec-eval-2,0.0,0.49,0.65,4.83,2.02,0.6,0.84,0.69
104,word2vec-eval-3,0.72,0.51,0.65,5.08,2.13,0.66,0.85,0.73
105,word2vec-eval-4,0.85,0.38,0.61,3.78,1.58,0.44,0.75,0.55
106,word2vec-fasttext-full-text,0.81,0.1,0.4,1.37,0.58,0.12,0.43,0.24
107,word2vec_eval_3,0.78,0.19,0.5,2.73,1.11,0.26,0.65,0.4
