Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,1,10,450,1,3,25,0.0001,0,0.3421565977026495,4.163215954700456e-10,0.35455824733720653,8.593127089854941e-11,10.48158640226629,0.0008397312859884837
iDnes.cz 100% Corpus,0,10,200,2,0,25,0.0001,1,0.05694927220616901,0.30530259491756234,-0.006840201027207438,0.9020832690265018,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,10,158,16,5,20,0.1,1,0.001677260376945055,0.9767275424425496,-0.05943099722748387,0.3008694574848767,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,5,158,5,2,20,0.1,1,-0.054772461545644476,0.3271996247366704,-0.14380914443640713,0.009766972412081534,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,15,200,20,1,25,0.0,1,0.05694927220616901,0.30530259491756234,-0.006840201027207438,0.9020832690265018,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,10,200,2,12,20,0.1,0,0.47291281922645473,2.142909812499407e-16,0.4673147829556373,5.342687401113663e-16,23.79603399433428,0.005730161486369161
iDnes.cz 100% Corpus,1,10,450,16,12,30,0.01,0,0.5224537856709864,3.049488435271423e-20,0.5867364010576522,2.821795193985396e-26,23.79603399433428,0.02917173120333391
iDnes.cz 100% Corpus,0,5,250,2,12,20,0.0,1,0.10656903569959635,0.08103808785442401,0.003231385280403652,0.9579295129062178,23.79603399433428,0.0
iDnes.cz 100% Corpus,1,15,200,20,0,30,0.01,1,0.05694927220616901,0.30530259491756234,-0.006840201027207438,0.9020832690265018,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,158,4,5,30,0.0,0,0.5322341244403519,1.040654849783824e-23,0.5367511621671207,3.706356077517438e-24,13.59773371104816,0.007543103448275862
iDnes.cz 100% Corpus,0,5,50,5,5,25,1e-05,1,0.16752437735362122,0.003341507753986845,0.13428908700968573,0.018962611193808054,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,5,300,4,3,25,0.0001,1,0.07449571744186131,0.18655041526040106,0.01595816543488585,0.7775046741856312,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,5,300,20,1,25,0.0,0,0.5572679573161446,5.43320631688558e-28,0.5965414875482977,8.373858391585362e-33,7.64872521246459,0.009001161440185831
