Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,0,5,300,2,3,20,0.0,1,0.07449571744186131,0.18655041526040106,0.01595816543488585,0.7775046741856312,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,5,100,4,3,30,1e-05,1,0.10469275247594798,0.0630562081278848,0.06281383696474574,0.26558910638643235,10.48158640226629,0.0
iDnes.cz 100% Corpus,0,15,100,1,1,30,0.001,1,0.1340358289180256,0.015447191616497767,0.093752508445673,0.09103415944029906,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,158,1,8,30,0.0,1,0.11154171475143716,0.059122249784692264,0.060271389276674456,0.3089007295202328,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,10,100,20,8,25,0.01,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,15,100,2,12,25,0.0,1,0.07846410977683652,0.19952958413902952,0.02331726682732556,0.7034240361078912,23.79603399433428,0.00017364125716270185
iDnes.cz 100% Corpus,1,15,158,12,2,20,0.0001,1,-0.054772461545644476,0.3271996247366704,-0.14380914443640713,0.009766972412081534,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,5,250,16,8,30,0.01,0,0.5842614281884853,1.1531303959640177e-27,0.6262232981155637,1.1628145430272223e-32,18.69688385269122,0.029891718773829495
iDnes.cz 100% Corpus,0,5,100,1,0,20,0.0001,1,0.1340358289180256,0.015447191616497767,0.093752508445673,0.09103415944029906,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,200,5,0,20,0.001,1,0.05694927220616901,0.30530259491756234,-0.006840201027207438,0.9020832690265018,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,50,2,5,25,0.0,1,0.16752437735362122,0.003341507753986845,0.13428908700968573,0.018962611193808054,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,10,158,4,12,25,0.1,1,0.031831047969354286,0.6032248873759671,-0.04712989148595977,0.4414090883132251,23.79603399433428,0.0
iDnes.cz 100% Corpus,1,10,450,20,8,20,0.01,1,0.08001231328783434,0.17645623053700676,-0.0033592116576693157,0.9548156749571853,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,10,100,1,12,25,1e-05,0,0.2865234592567686,1.7704547693481938e-06,0.33193845048479553,2.435951671254698e-08,23.79603399433428,0.004861955200555652
iDnes.cz 100% Corpus,1,15,300,1,12,30,0.0,0,0.35971971801078584,1.2245055550408128e-09,0.37109884516263203,3.300919029326375e-10,23.79603399433428,0.00017364125716270185
iDnes.cz 100% Corpus,0,15,450,16,2,25,0.0001,1,0.06344153150851667,0.2563191092180659,-0.03016987877109785,0.5896132720153417,8.78186968838527,0.0
iDnes.cz 100% Corpus,0,15,158,16,2,30,0.01,0,0.5919883072535099,7.802698028244353e-32,0.5861987999801656,4.1912109411643e-31,8.78186968838527,0.021371715189183293
iDnes.cz 100% Corpus,1,15,100,16,12,20,0.0001,1,0.07846410977683652,0.19952958413902952,0.02331726682732556,0.7034240361078912,23.79603399433428,0.00017364125716270185
iDnes.cz 100% Corpus,1,10,158,12,5,30,0.0001,1,0.001677260376945055,0.9767275424425496,-0.05943099722748387,0.3008694574848767,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,10,450,1,3,20,0.1,0,0.31879244178655597,6.773242005295724e-09,0.3324240033869366,1.3692285148265563e-09,10.48158640226629,0.0031190019193857964
iDnes.cz 100% Corpus,0,10,450,12,1,20,0.1,1,0.09133603099481379,0.0997178390806454,0.030570400929784143,0.5823390214827024,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,158,16,8,30,0.0001,0,0.5917308282237793,1.6809638594347798e-28,0.5950756520696611,6.981671874173317e-29,18.69688385269122,0.019216104926033248
iDnes.cz 100% Corpus,0,5,100,8,8,30,0.1,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,15,50,16,1,25,0.001,1,0.07869341822963966,0.1563110304313309,0.02815640588919259,0.6124882587999354,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,200,2,12,30,0.0,0,0.490428489185439,1.1006984386711708e-17,0.4782477957501958,8.832421800500903e-17,23.79603399433428,0.004861955200555652
iDnes.cz 100% Corpus,0,10,450,4,1,20,0.0001,1,0.09133603099481379,0.0997178390806454,0.030570400929784143,0.5823390214827024,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,50,1,3,20,0.001,1,0.03453683896611024,0.5407430112388223,0.005239969077846019,0.9260789534164533,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,10,50,2,8,30,0.0,0,0.5105725512276558,1.8627320775515177e-20,0.5046322729323565,5.996061423554402e-20,18.69688385269122,0.03309440292816837
iDnes.cz 100% Corpus,1,10,50,20,0,25,0.001,0,0.5727769890115687,8.161849245332421e-30,0.5613003465191697,1.8629211282680183e-28,7.64872521246459,0.02051877661633759
iDnes.cz 100% Corpus,1,10,450,2,12,25,0.1,0,0.4211458669055495,5.456242513840569e-13,0.4440613238887853,1.9964759629962675e-14,23.79603399433428,0.0017364125716270186
iDnes.cz 100% Corpus,1,15,300,20,2,20,1e-05,0,0.5767564176743362,6.055728147307572e-30,0.6242913406032777,3.419581134300007e-36,8.78186968838527,0.009268345872860103
iDnes.cz 100% Corpus,0,10,450,20,12,25,0.1,0,0.5759578044597758,3.597547702641163e-25,0.5825173826151372,7.729107504277258e-26,23.79603399433428,0.016669560687619378
iDnes.cz 100% Corpus,0,10,200,2,2,25,1e-05,1,0.108721480910062,0.05127972360138397,0.05314980352909473,0.34175555636642097,8.78186968838527,0.0
iDnes.cz 100% Corpus,0,15,158,5,1,20,0.1,0,0.4977020527519125,8.319033511119976e-22,0.5015983473568706,3.5619435898911323e-22,7.64872521246459,0.011904761904761904
iDnes.cz 100% Corpus,0,10,50,4,3,25,0.0,0,0.5356052463005327,7.381328013641651e-25,0.5460550916546332,5.895625333744294e-26,10.48158640226629,0.029990403071017274
