Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,0,15,50,5,5,30,0.001,1,0.16752437735362122,0.003341507753986845,0.13428908700968573,0.018962611193808054,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,10,158,20,5,20,0.1,0,0.5833680746496176,3.3217422511522425e-29,0.5821108323007268,4.658745172574913e-29,13.59773371104816,0.017645474137931036
iDnes.cz 100% Corpus,1,5,200,16,12,30,0.1,1,0.12479044684164266,0.04083656856200967,0.056745751814319206,0.35386801388972144,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,5,450,1,8,30,0.01,1,0.08001231328783434,0.17645623053700676,-0.0033592116576693157,0.9548156749571853,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,158,4,2,20,0.0,0,0.49970029234146934,9.636278913487051e-22,0.49792269151136964,1.4107921299934233e-21,8.78186968838527,0.022353069458074366
iDnes.cz 100% Corpus,1,15,450,5,12,30,0.0001,0,0.5028673560998755,1.2026362162009276e-18,0.5602407679586255,1.2494577067038935e-23,23.79603399433428,0.03056086126063553
iDnes.cz 100% Corpus,1,5,450,12,8,25,0.0001,0,0.5524180706135623,2.49209384697234e-24,0.635234158128452,7.783142595253501e-34,18.69688385269122,0.02028366631081287
iDnes.cz 100% Corpus,0,15,158,1,2,30,0.0,1,-0.054772461545644476,0.3271996247366704,-0.14380914443640713,0.009766972412081534,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,10,450,16,5,30,0.0001,1,0.055745973966456024,0.33188762754996465,-0.030242811229028974,0.5988050834043985,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,15,50,12,12,30,0.0001,0,0.5994577662469917,1.2348168824149476e-27,0.583051579952821,6.808837142424352e-26,23.79603399433428,0.018926897030734503
