Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,0,5,100,5,8,20,0.0,0,0.543697201433849,1.7738551816850452e-23,0.5407036323856733,3.434116735776373e-23,18.69688385269122,0.028366631081287175
iDnes.cz 100% Corpus,0,5,100,5,8,20,0.0,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,20,0.1,0,0.5366706201013866,8.276168193605755e-23,0.531668660162171,2.424141907727132e-22,18.69688385269122,0.02958670123532103
iDnes.cz 100% Corpus,0,5,100,5,8,20,0.1,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,20,0.01,0,0.5383367001347105,5.762847007741101e-23,0.5395310175115946,4.440348490066141e-23,18.69688385269122,0.028366631081287175
iDnes.cz 100% Corpus,0,5,100,5,8,20,0.01,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,20,0.001,0,0.5450263885601017,1.3201075547359437e-23,0.5396622386998843,4.314693288396448e-23,18.69688385269122,0.03019673631233796
iDnes.cz 100% Corpus,0,5,100,5,8,20,0.001,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,20,0.0001,0,0.56934770483048,4.663434618081634e-26,0.5559235135380829,1.1139345125193612e-24,18.69688385269122,0.03355192923593107
iDnes.cz 100% Corpus,0,5,100,5,8,20,0.0001,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,20,1e-05,0,0.3170721048093304,4.009893684113385e-08,0.3627829298293507,2.353839105233619e-10,18.69688385269122,0.00503278938538966
iDnes.cz 100% Corpus,0,5,100,5,8,20,1e-05,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,25,0.0,0,0.5535159400214519,1.938579455653466e-24,0.5515394060229395,3.044922239934915e-24,18.69688385269122,0.012658227848101266
iDnes.cz 100% Corpus,0,5,100,5,8,25,0.0,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,25,0.1,0,0.560149372258183,4.166368345221764e-25,0.5578382768735916,7.146466760439204e-25,18.69688385269122,0.03080677138935489
iDnes.cz 100% Corpus,0,5,100,5,8,25,0.1,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,25,0.01,0,0.5599942408132179,4.320604980908589e-25,0.5583022465683568,6.414956235133384e-25,18.69688385269122,0.014793350617660515
iDnes.cz 100% Corpus,0,5,100,5,8,25,0.01,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,25,0.001,0,0.5424717137070971,2.32655255458408e-23,0.5422069652642811,2.4665924976000687e-23,18.69688385269122,0.031416806466371815
iDnes.cz 100% Corpus,0,5,100,5,8,25,0.001,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,25,0.0001,0,0.5819258447809288,2.0844069110812184e-27,0.5753340968952357,1.0803618206843374e-26,18.69688385269122,0.03095928015860912
iDnes.cz 100% Corpus,0,5,100,5,8,25,0.0001,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,25,1e-05,0,0.4678274798110813,5.15786906678098e-17,0.4688208177281861,4.343298029743951e-17,18.69688385269122,0.00793045600122007
iDnes.cz 100% Corpus,0,5,100,5,8,25,1e-05,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,30,0.0,0,0.5599921835709979,4.322687706132375e-25,0.5607193053228703,3.6449157794787867e-25,18.69688385269122,0.030501753850846424
iDnes.cz 100% Corpus,0,5,100,5,8,30,0.0,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,5,8,30,0.1,0,0.5553827013462699,1.2620625494896757e-24,0.5521231753325458,2.6656045927149615e-24,18.69688385269122,0.03019673631233796
iDnes.cz 100% Corpus,0,5,100,5,8,30,0.1,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
