slug,score_tfidf_posts,score_tfidf_keywords,score_lda_posts,score_doc2vec_posts,rating_predicted,rating_actual
na-co-zira-masinfira-projedte-si-nadhernou-trat-v-udoli-nespoutane-opavy,0.0,0.0,0.5037437677383423,0.3189302980899811,0.5692814385,5.0
chaos-v-mapach-kavkazu-proc-armenie-a-azerbajdzan-nebojuji-jen-o-karabach,0.0,0.0,0.5334197878837585,0.22593317925930023,0.5692814385,5.0
velky-turisticky-pruvodce-proc-jsou-kanarske-ostrovy-nebezpecne-navykove,0.0,0.0,0.558327317237854,0.24543005228042603,0.4347017145,4.0
muz-se-vyhybal-vezeni-kdyz-na-sebe-upozornil-prestupkem-zkusil-hlidce-ujet,0.0,0.0,0.534049391746521,0.16310077905654907,0.0091393092,3.0
brana-u-vily-osveta-s-bustou-jana-masaryka-hrozi-padem-jisti-ji-podpery,0.0,0.0,0.5168142914772034,0.34970271587371826,-0.580847286,3.6666666666666665
na-nadherne-plaze-zapomente-presto-je-madeira-skutecnym-klenotem-atlantiku,0.0,0.0,0.506702184677124,0.31852492690086365,0.5827583835,3.3333333333333335
z-hromady-kameni-povstal-hrad-hartenstejn-i-s-karlovarskou-vezi,0.0,0.0,0.5539171695709229,0.22948181629180908,1.5213109895,4.0
porozumime-nekdy-reci-zvirat-zatim-to-umeji-jenom-pohadky,0.0,0.0,0.5099498629570007,0.2568875253200531,1.1590589716,3.0
dve-feny-se-vzdy-servou-vic-nez-dva-psi-rika-desensky-radi-co-s-tim,0.0,0.0,0.519156277179718,0.314563512802124,0.3436799329,2.6666666666666665
chlapske-sobectvi-testosteron-vede-k-egoismu-tvrdi-studie,0.0,0.0,0.5459609031677246,0.1724855899810791,0.5852759214,2.0
houby-jsou-pro-rostliny-nezbytne-posilaji-si-pres-ne-varovani-rika-mykolog,0.0,0.0,0.5428760051727295,0.2947482764720917,0.1169360735,4.5
poptavka-po-antigennich-sadach-je-vysoka-obchody-rozsiruji-nabidku-o-testy-ze-slin,0.0,0.0,0.49229761958122253,0.2718685269355774,-0.94802874,3.4
