slug,score_tfidf_posts,score_tfidf_keywords,score_lda_posts,score_doc2vec_posts,rating_predicted,rating_actual
za-vylakani-pornozaberu-od-deti-dostal-recidivista-znovu-pres-pet-let,0.50927734375,0.0,0.5298575162887573,0.2688099443912506,,0.0
turiste-houfne-zaplavili-orlicke-hory-parkoviste-jim-nestaci,0.50927734375,0.0,0.5242709517478943,0.30361151695251465,,0.0
ptaky-zabiji-nebezpecna-nemoc-zdrojem-nakazy-jsou-neudrzovana-krmitka,0.5087890625,0.0,0.5648499131202698,0.3525640070438385,,0.0
obzalovany-z-vrazd-v-ceskem-raji-miri-pred-soud-hrozi-mu-dozivotni-trest,0.5087890625,0.0,0.5581645369529724,0.39636850357055664,,0.0
prvni-skiareal-v-jesenikach-vzdal-cekani-a-ukoncil-sezonu-dalsi-to-zvazuji,0.50830078125,0.0,0.4966316521167755,0.24369537830352783,,0.0
zemrel-v-lavine-kdyz-si-chtel-podruhe-sjet-obri-dul-partak-ho-zdola-natacel,0.50830078125,0.0,0.5104962587356567,0.33888715505599976,,0.0
rodina-se-obavala-o-babicku-osmdesatileta-starenka-mela-na-usich-sluchatka,0.5078125,0.0,0.5394267439842224,0.2159876525402069,,0.0
z-kamionu-se-uvolnil-led-a-proletel-policejnim-autem-az-na-zadni-sedadla,0.5078125,0.0,0.5054547190666199,0.31729328632354736,,0.0
vzdyt-to-byla-sranda-haji-se-particka-strikajici-na-lidi-z-auta,0.5078125,0.0,0.576207160949707,0.2872483730316162,,0.0
zoo-ostrava-se-chlubi-vlastnim-odchovem-sekernatek-asi-jedinym-na-svete,0.5078125,0.0,0.49705204367637634,0.3019208610057831,,0.0
cech-se-devet-let-vyhybal-v-keni-vezeni-zradily-ho-vlastni-doklady,0.50732421875,0.0,0.49896883964538574,0.28769218921661377,,0.0
starsi-sofer-nedal-prednost-vlaku-naraznik-minul-jeho-hlavu-o-centimetry,0.50732421875,0.0,0.49796614050865173,0.30092713236808777,,0.0
najin-uz-nebude-davat-vajicka-bile-nosorozce-ze-zkumavky-by-mohla-vychovat,0.50732421875,0.0,0.5339034795761108,0.2722456753253937,,0.0
rocni-chlapec-mel-zlomene-temer-vsechny-kosti-matku-obvinila-policie,0.5068359375,0.0,0.5329433083534241,0.32499152421951294,,0.0
ne-vrazda-ale-zabiti-rekl-opet-soud-a-ulozil-devet-let-za-smrt-na-fare,0.5068359375,0.0,0.5637316703796387,0.32037732005119324,,0.0
vrah-zeny-se-ctyrlistkem-na-noze-unika-uz-15-let-mrtvolu-nasli-v-rybniku,0.5068359375,0.0,0.5757328867912292,0.34373876452445984,,0.0
za-pokus-o-vrazdu-soka-v-lasce-dostal-bezdomovec-z-prostejova-osm-let,0.50634765625,0.0,0.5167194604873657,0.2811579406261444,,0.0
v-krkonosich-spadly-dve-laviny-zachranena-zena-je-v-kritickem-stavu,0.50634765625,0.0,0.468234121799469,0.27578994631767273,,0.0
ridic-auta-dostal-na-snehu-smyk-a-srazil-se-s-kamionem-na-miste-zemrel,0.505859375,0.0,0.49640318751335144,0.2625772953033447,,0.0
pozar-zacal-pri-hre-se-zapalovacem-ze-smrti-dvou-deti-vini-policie-matku,0.505859375,0.0,0.5084391236305237,0.2646598517894745,,0.0
mladici-chteli-z-konopi-ziskat-ciste-thc-domaci-pokus-skoncil-vybuchem,0.505859375,0.0,0.5124586820602417,0.3066262900829315,,0.0
jeden-mrtvy-druhy-zraneny-policie-vysetruje-nasili-na-frydecko-mistecku,0.505859375,0.0,0.5234173536300659,0.33271852135658264,,0.0
nastvany-reziser-si-to-sel-se-mnou-vyridit-rucne-rika-filmovy-kritik,0.505859375,0.0,0.5642704367637634,0.2098616361618042,,0.0
utok-nozem-v-ostravskem-byte-muz-neprezil-partnerka-skoncila-ve-vazbe,0.505859375,0.0,0.5175116658210754,0.3894299268722534,,0.0
bylo-tu-melke-more-plne-zraloku-lici-pravek-hradecky-paleontolog,0.50537109375,0.0,0.5152640342712402,0.35389968752861023,,0.0
zlodej-postrelil-straznika-na-benzince-v-trutnove-kvuli-ctyrem-limonadam,0.50537109375,0.0,0.4905608296394348,0.322150319814682,,0.0
za-pobodani-zeny-a-tchana-dostal-vietnamec-13-let-jednal-pry-v-afektu,0.50537109375,0.0,0.566927969455719,0.23966136574745178,0.1655422664,2.0
v-novem-jicine-zemrela-mladistva-divka-jeji-pritel-ji-patrne-uskrtil,0.5048828125,0.0,0.5106620788574219,0.3780337870121002,,0.0
muze-soudi-za-pokus-o-vrazdu-pred-utokem-prestal-brat-leky-na-deprese,0.5048828125,0.0,0.502350926399231,0.2190706729888916,,0.0
milion-korun-za-matcin-smrtelny-pad-z-kone-dcera-nedostane-rozhodl-soud,0.5048828125,0.0,0.47971341013908386,0.3668050169944763,,0.0
ostravske-stopy-ostrava-byla-divocejsi-nez-jina-mesta-lici-propagator-sci-fi,0.5048828125,0.0,0.5044121146202087,0.26812121272087097,,0.0
ustavni-soud-naridil-znovu-otevrit-spor-o-pozemky-colloredo-mansfeldu,0.50439453125,0.0,0.4660677909851074,0.2982487082481384,,0.0
v-centru-brna-praskl-vodovod-auta-v-jednom-smeru-musi-usek-objizdet,0.50439453125,0.0,0.5233246088027954,0.3442184329032898,,0.0
v-dukovanech-vznika-3d-model-jaderne-elektrarny-krome-bezpecnostnich-prvku,0.50439453125,0.0,0.48749402165412903,0.24439947307109833,,0.0
hokej-hraje-i-bez-nohy-hlavne-se-nelitovat-rika-mlady-sportovec,0.50439453125,0.0,0.5520337820053101,0.31089335680007935,,0.0
zlodej-schoval-kradenou-pokladnu-s-penezi-do-snehu-policii-stejne-neunikl,0.50439453125,0.0,0.549887478351593,0.26872575283050537,,0.0
misto-billboardu-socha-svetice-v-brne-u-tunelu-hlidkuje-svata-barbora,0.50439453125,0.0,0.5011453032493591,0.37573477625846863,,0.0
pred-130-lety-se-na-morave-narodil-alfred-neubauer-naucil-mercedes-vyhravat,0.50439453125,0.0,0.5761575698852539,0.3355422914028168,,0.0
policejni-hlidky-funguji-perla-krusnych-hor-zaziva-idylicky-vikend,0.50390625,0.0,0.5557729005813599,0.37057095766067505,,0.0
retro-ktere-prezilo-kavoviny-pardubice-vyrabeji-meltu-i-po-125-letech,0.50390625,0.0,0.5457473993301392,0.4136372208595276,,0.0
policiste-po-28-letech-vypatrali-ukradeny-obraz-sberatel-ho-dal-do-aukce,0.50341796875,0.0,0.5159944295883179,0.3474465310573578,,0.0
obzalovany-ze-zneuziti-divek-pry-hluchotu-hraje-se-znalkynemi-flirtoval,0.50341796875,0.0,0.546669602394104,0.3070766031742096,,0.0
olomoucka-zoo-ma-podivuhodne-pasovce-kulovite-pokusi-se-o-odchov-mladat,0.50341796875,0.0,0.5716726183891296,0.3496573865413666,,0.0
cesky-jedlik-si-pripsal-novy-rekord-za-pul-hodiny-snedl-devet-tisic-cervu,0.50341796875,0.0,0.5471386909484863,0.3475605249404907,,0.0
unikatni-plastiku-skryl-polystyren-podle-odborniku-v-rozporu-se-zakonem,0.50341796875,0.0,0.5593845844268799,0.3725717067718506,,0.0
verdikt-o-pardubickem-stadionu-nepadne-politici-dostali-klub-do-casove-tisne,0.50341796875,0.0,0.5664213299751282,0.16244462132453918,,0.0
podnikatel-z-frydku-mistku-dostal-dvanact-let-vezeni-za-objednavku-vrazdy,0.50341796875,0.0,0.5222144722938538,0.3142896592617035,,0.0
