slug,zemrel-posledni-krkonossky-nosic-helmut-hofer-ikona-velke-upy,salah-pomohl-hattrickem-ztrapnit-united-soucek-byl-u-vyhry-nad-tottenhamem,sileny-cesky-plan-dva-roky-trenoval-ted-chce-sam-preveslovat-atlantik
zemrel-posledni-krkonossky-nosic-helmut-hofer-ikona-velke-upy,1.0000000000000002,0.0,0.0104318029575067
salah-pomohl-hattrickem-ztrapnit-united-soucek-byl-u-vyhry-nad-tottenhamem,0.0,1.0,0.0
sileny-cesky-plan-dva-roky-trenoval-ted-chce-sam-preveslovat-atlantik,0.0104318029575067,0.0,1.0000000000000002
